,Linkability_Risk,Inference_age,Inference_workclass,Inference_fnlwgt,Inference_education,Inference_educational-num,Inference_marital-status,Inference_occupation,Inference_relationship,Inference_race,Inference_gender,Inference_capital-gain,Inference_capital-loss,Inference_hours-per-week,Inference_native-country,Inference_income,SinglingOut_univariate_Risk
[Adult]_SDV_CoupulaGAN_0,0.0,0.0,0.0118830534191116,0.006263566301246376,0.0,0.0034288820680038667,0.06028559331457443,0.0,0.0,0.0,0.0604133982230426,0.004028518975905989,0.0,0.0,0.01441930280807001,0.0,
[Adult]_SDV_CoupulaGAN_1,0.0,0.0,0.0,0.0,0.0013851936358951031,0.019059989794427988,0.0,0.026912953073906853,0.0,0.0,0.0,0.004032580307478625,0.0075600424287485144,0.0,0.0091937985677565,0.05518749912274795,
[Adult]_SDV_CoupulaGAN_2,0.0,0.001091797540867742,0.0,0.0,0.01214704845302756,0.01351471995475203,0.0,0.0064940636236501025,0.0,0.0,0.025765907444206426,0.002018324918068986,0.0,0.002200411911935903,0.0,0.0,0.032539426074843704
[Adult]_SDV_CTGAN_0,0.0,0.0,0.0,0.0,0.017883655636764105,0.017779343754514502,0.0,0.002190770715976393,0.0013851936358951031,0.015330326605477219,0.0,0.009045946811595703,0.004348200743953148,0.0,0.0,0.02667371480366921,0.0
[Adult]_SDV_CTGAN_1,0.001000539926658308,0.017298779766997185,0.0,0.003128517204800375,0.015237129994846676,0.0,0.04969555806861993,0.021600121224995765,0.02213244045865227,0.0,0.0,0.0010081450768696567,0.0010882331500364404,0.007676105799816885,0.0020835053757288368,0.02076694189525719,0.006704966635887648
[Adult]_SDV_CTGAN_2,0.0015000594552987683,0.009751650074812039,0.0,0.0,0.006868879807901942,0.008037470878364917,0.0,0.0,0.004196269427624997,0.0,0.009347525663250205,0.0020224067920919407,0.0075600424287485144,0.021576818130632197,0.008290836496888939,0.02951586800085445,
[Adult]_SDV_GaussianCoupula_0,0.0,0.0,0.02132110491581147,0.0,0.0,0.0045150766510027775,0.012196595779480467,0.00645910873773765,0.0,0.0,0.0,0.0,0.0,0.042922105644445915,0.00412830469881088,0.09005510842940977,
[Adult]_SDV_GaussianCoupula_1,0.0009995398471329656,0.0,0.0,0.015497136846255923,0.020354970896262318,0.012444554849774789,0.032004059169026586,0.003286156073964597,0.0,0.11933143674861467,0.039820038777409555,0.006042778463858986,0.0,0.004391161459888234,0.0,0.013749449920971149,0.03239564045820635
[Adult]_SDV_GaussianCoupula_2,0.0,0.013073024298850449,0.02524660449169857,0.004206449471850662,0.04692187603858071,0.0,0.0,0.0010941868017866232,0.0,0.0,0.0,0.0,0.006452162867478545,0.0,0.0,0.08198852222459524,0.0399867182825787
[Adult]_SDV_TVAE_0,0.0,0.009815461371222049,0.03421068793039169,0.0,0.0,0.0,0.00463735333189034,0.009836917790462963,0.0,0.0036111417232264965,0.0,0.0010071297439764976,0.0010788409065316158,0.0021764663000728656,0.005160380873513605,0.0,0.0
[Adult]_SDV_TVAE_1,0.0005002699633291538,0.01637696311301604,0.001988384931304137,0.006296431397512684,0.015237129994846676,0.0333733543108731,0.003091568887926951,0.024548501573313567,0.0,0.0,0.0,0.006042778463858986,0.010823439372750161,0.016521266134921064,0.0,0.11113830246533757,0.054650602505046685
[Adult]_SDV_TVAE_2,0.0,0.005543724450450178,0.026619981333872392,0.00938555161440114,0.017859087500545063,0.01918907576676176,0.008052557698868026,0.018540315923419422,0.0,0.0,0.03810242952870458,0.0,0.01513643229612254,0.01839984693367527,0.00103742970712096,0.0,0.01603958952728119
