,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
0,46,Self-emp-not-inc,317108,Bachelors,3,Married-civ-spouse,Exec-managerial,Husband,Other,Male,0,1,47,United-States,>50K
1,58,Private,214532,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,6,0,40,United-States,<=50K
2,44,Federal-gov,143689,5th-6th,4,Married-civ-spouse,Transport-moving,Wife,White,Female,3,0,34,Ireland,>50K
3,33,Private,90597,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7,1,40,United-States,>50K
4,39,Private,242362,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,1855,40,Philippines,<=50K
5,33,Private,87908,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Female,4,0,40,United-States,<=50K
6,19,Local-gov,20122,11th,7,Married-civ-spouse,?,Husband,White,Male,0,0,40,Canada,<=50K
7,33,Local-gov,338049,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,11,1,40,United-States,>50K
8,54,Self-emp-not-inc,91551,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,9,0,49,United-States,>50K
9,33,Federal-gov,98043,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,17,0,40,Ireland,>50K
10,28,Private,312428,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,<=50K
11,49,Self-emp-not-inc,166940,Masters,14,Separated,Sales,Not-in-family,White,Female,3,1,32,United-States,<=50K
12,43,Private,164904,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,51,United-States,>50K
13,64,Private,170925,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,6,0,40,United-States,<=50K
14,39,Local-gov,49716,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,1,36,United-States,<=50K
15,36,Private,194665,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,19,0,40,Thailand,<=50K
16,70,Self-emp-not-inc,152388,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,3,0,50,United-States,<=50K
17,38,Private,129664,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Black,Male,0,0,40,United-States,<=50K
18,20,Never-worked,635750,HS-grad,9,Never-married,?,Own-child,Black,Male,0,0,21,United-States,<=50K
19,19,?,158205,Some-college,10,Widowed,?,Own-child,White,Female,12,0,26,United-States,<=50K
20,40,Private,170001,Assoc-acdm,14,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1,60,United-States,>50K
21,35,Private,177231,HS-grad,9,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,40,?,<=50K
22,33,Private,216618,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,<=50K
23,39,Private,38308,Some-college,10,Never-married,Tech-support,Not-in-family,White,Male,0,0,36,United-States,<=50K
24,49,Local-gov,197705,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,23,1,51,United-States,>50K
25,40,Private,195241,Prof-school,15,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,5,1781,40,Japan,>50K
26,18,?,382837,Some-college,10,Married-AF-spouse,?,Wife,White,Female,5,0,40,United-States,<=50K
27,32,Private,305610,Doctorate,15,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,8,0,40,Thailand,<=50K
28,62,Private,214895,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,7,1,35,United-States,>50K
29,60,Local-gov,38734,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,1904,40,United-States,<=50K
30,49,Private,268656,Doctorate,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,7955,0,45,United-States,>50K
