,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
0,23,4,136669,11,9,4,10,1,3,1,0,0,40,39,0
1,20,4,375424,15,10,4,4,1,4,1,0,0,50,39,0
2,23,4,273406,10,13,4,10,3,1,1,0,0,40,11,0
3,25,4,302123,11,9,4,6,3,4,1,0,0,52,39,0
4,22,4,63792,15,10,4,13,3,2,0,0,0,65,30,0
5,35,4,188720,11,9,2,7,0,4,1,0,0,40,39,1
6,46,2,176473,12,14,2,11,0,4,1,0,0,47,39,0
7,37,2,237332,11,9,2,11,0,4,1,0,0,40,39,0
8,35,4,186305,15,10,2,3,0,4,1,0,0,40,39,0
9,52,4,305355,1,7,5,7,4,4,0,0,0,40,11,0
10,42,4,257329,9,13,4,3,1,2,1,0,0,40,39,0
11,37,4,172558,12,14,2,4,0,4,1,0,0,33,39,0
12,41,6,324724,0,6,0,4,4,4,0,0,1831,40,39,0
13,29,4,264830,11,9,2,3,0,4,1,0,0,40,0,0
14,24,2,258744,2,8,4,1,4,4,0,0,0,40,39,0
15,36,4,241697,6,4,6,3,4,4,0,0,0,40,21,0
16,71,4,374132,5,4,2,5,1,4,1,0,0,73,39,0
17,41,4,90239,9,13,2,4,0,2,1,0,0,40,39,0
18,21,7,186353,12,14,4,10,3,4,0,0,0,39,39,0
19,19,4,251972,9,13,4,1,3,4,0,0,0,40,39,0
20,38,4,220069,7,13,2,14,0,0,1,0,0,40,39,0
21,62,4,134049,6,7,2,7,5,4,0,0,0,40,6,0
22,44,4,437690,1,7,4,8,1,4,0,0,0,40,39,0
23,40,4,125301,9,13,4,3,1,4,1,0,0,50,39,0
24,66,0,60614,7,13,1,0,5,4,0,0,0,40,39,0
25,38,4,331570,12,14,2,4,0,4,1,8617,0,40,24,1
26,21,2,73877,9,13,4,10,1,4,0,0,0,40,39,0
27,25,4,209715,9,13,2,3,0,4,1,0,0,40,21,0
28,37,4,282733,12,14,3,10,1,4,0,0,0,48,39,0
29,53,4,23998,11,9,2,7,1,4,1,0,1732,10,39,0
30,49,1,120780,7,13,2,4,0,4,1,0,0,34,39,1
31,36,2,43621,15,10,0,3,1,2,1,0,0,51,39,0
32,59,4,128190,0,6,2,8,0,4,1,0,0,34,39,0
33,27,4,168087,11,9,4,3,1,4,0,0,0,40,39,0
34,20,4,52447,11,9,3,8,1,4,1,0,0,40,39,0
35,25,4,245360,11,9,4,1,1,4,0,0,0,40,39,0
36,42,4,96615,14,15,1,5,5,4,0,0,0,20,39,0
37,60,7,23630,9,13,6,10,1,4,0,0,0,5,39,0
38,28,4,203798,15,10,4,3,3,4,1,0,0,40,39,0
39,47,5,240546,14,16,2,10,0,4,1,99999,2056,49,39,1
40,18,4,152756,11,9,4,8,3,4,0,0,0,15,39,0
41,51,4,117069,5,4,3,8,1,4,0,0,0,40,39,0
42,17,3,249074,1,7,4,0,3,4,1,0,0,9,39,0
43,28,4,353884,7,12,4,1,1,2,0,0,0,40,39,0
44,42,4,163679,11,9,2,3,0,4,1,0,0,40,39,0
45,34,4,181829,15,15,2,12,0,1,1,0,0,40,30,1
46,29,4,52480,9,13,2,7,0,4,1,0,0,40,39,1
47,37,2,341276,12,14,2,10,0,4,1,0,0,36,39,0
48,20,1,359415,15,10,4,8,4,4,1,0,0,49,39,0
49,31,4,52039,9,15,4,4,1,4,1,0,0,48,39,0
50,34,4,212076,15,10,2,8,5,0,1,0,0,62,39,0
51,42,4,176616,8,11,2,4,5,4,0,0,0,40,39,0
