,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
0,63,Never-worked,96810,HS-grad,12,Separated,Craft-repair,Husband,White,Male,13203,1,39,United-States,>50K
1,23,Never-worked,203600,HS-grad,10,Married-civ-spouse,Transport-moving,Husband,White,Male,32158,19,39,United-States,<=50K
2,28,Never-worked,166505,HS-grad,5,Never-married,?,Husband,White,Male,79026,575,29,United-States,<=50K
3,41,Self-emp-not-inc,125814,Some-college,11,Never-married,Prof-specialty,Husband,White,Male,5012,376,36,United-States,>50K
4,56,Never-worked,388448,HS-grad,9,Married-civ-spouse,Craft-repair,Unmarried,White,Male,1086,713,48,United-States,<=50K
5,33,Local-gov,205123,Some-college,14,Divorced,Prof-specialty,Husband,White,Male,36793,4334,48,United-States,>50K
6,35,Never-worked,186213,Assoc-acdm,10,Divorced,?,Husband,White,Male,26781,0,41,United-States,<=50K
7,17,Never-worked,444864,Some-college,7,Never-married,?,Not-in-family,White,Male,72869,0,45,United-States,>50K
8,35,Local-gov,178002,5th-6th,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,99931,0,39,United-States,>50K
9,25,Local-gov,128837,HS-grad,8,Never-married,Sales,Not-in-family,White,Male,26038,3307,37,United-States,<=50K
10,39,Never-worked,245501,Bachelors,7,Married-spouse-absent,Craft-repair,Husband,White,Male,39230,0,72,France,<=50K
11,23,Local-gov,65951,Some-college,10,Never-married,Sales,Husband,White,Male,4814,8,29,United-States,<=50K
12,72,Never-worked,175781,Some-college,8,Married-AF-spouse,Exec-managerial,Husband,White,Male,98953,4040,63,United-States,>50K
13,44,Never-worked,133161,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Male,345,4355,40,United-States,<=50K
14,22,Never-worked,238137,Assoc-acdm,11,Never-married,Exec-managerial,Unmarried,White,Male,70951,0,27,United-States,<=50K
15,41,Never-worked,43497,Some-college,5,Married-spouse-absent,Craft-repair,Unmarried,White,Male,417,813,44,United-States,<=50K
16,36,State-gov,65600,10th,12,Never-married,Farming-fishing,Not-in-family,White,Male,52530,1,35,United-States,<=50K
17,21,Self-emp-not-inc,257542,HS-grad,9,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,18394,122,59,United-States,<=50K
18,20,Never-worked,141248,Assoc-acdm,9,Never-married,Craft-repair,Husband,White,Male,25183,6,25,United-States,<=50K
19,44,Never-worked,188901,HS-grad,8,Separated,Prof-specialty,Not-in-family,White,Male,13654,4148,46,United-States,>50K
20,36,Never-worked,150841,7th-8th,13,Married-civ-spouse,Craft-repair,Husband,White,Male,98928,4,39,United-States,<=50K
21,62,Local-gov,148219,Prof-school,5,Divorced,?,Husband,White,Male,96131,822,38,United-States,<=50K
22,54,Never-worked,201821,7th-8th,9,Widowed,Adm-clerical,Husband,White,Male,2523,3355,28,United-States,<=50K
23,27,Never-worked,132743,HS-grad,8,Never-married,Handlers-cleaners,Husband,White,Male,7324,0,35,Mexico,>50K
24,33,Never-worked,106191,HS-grad,6,Divorced,Prof-specialty,Husband,White,Male,97,774,40,United-States,<=50K
25,62,Never-worked,95615,HS-grad,6,Married-spouse-absent,?,Husband,White,Male,87676,15,44,United-States,<=50K
26,28,Never-worked,74771,HS-grad,11,Divorced,Sales,Husband,White,Male,619,258,40,United-States,>50K
27,20,Local-gov,225144,Assoc-acdm,10,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,44495,0,35,United-States,<=50K
28,19,Never-worked,119033,HS-grad,15,Never-married,Priv-house-serv,Husband,White,Male,90515,66,37,United-States,<=50K
29,40,Never-worked,102100,Some-college,14,Divorced,Transport-moving,Husband,White,Male,99882,9,40,United-States,<=50K
30,17,Never-worked,377799,Some-college,11,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,90675,1,41,United-States,>50K
31,52,Never-worked,141603,Some-college,13,Married-civ-spouse,Other-service,Husband,White,Male,12811,455,67,United-States,>50K
32,26,Never-worked,86928,Some-college,12,Never-married,Exec-managerial,Husband,White,Male,26154,16,51,United-States,<=50K
33,53,Local-gov,102086,7th-8th,12,Separated,Craft-repair,Husband,White,Male,25823,3076,48,United-States,>50K
34,34,Local-gov,220832,HS-grad,4,Never-married,Other-service,Husband,White,Male,504,778,28,United-States,<=50K
35,41,Never-worked,46690,Assoc-acdm,11,Never-married,?,Husband,White,Male,93218,66,54,United-States,<=50K
36,35,Never-worked,47138,10th,14,Divorced,Craft-repair,Husband,White,Male,69264,1553,23,United-States,>50K
37,26,Never-worked,142507,Some-college,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,3500,39,United-States,<=50K
38,65,Never-worked,270763,HS-grad,9,Married-spouse-absent,Craft-repair,Husband,White,Male,180,2365,51,United-States,<=50K
39,51,Never-worked,113085,HS-grad,5,Never-married,Prof-specialty,Husband,White,Male,31485,1,62,Greece,<=50K
40,32,Never-worked,176962,Assoc-acdm,5,Never-married,?,Not-in-family,White,Male,642,1592,20,United-States,<=50K
41,64,Never-worked,26744,HS-grad,9,Married-spouse-absent,Handlers-cleaners,Husband,White,Male,2269,0,52,United-States,<=50K
42,42,Local-gov,361703,Some-college,8,Separated,Other-service,Husband,White,Male,38869,266,54,Holand-Netherlands,>50K
43,33,Never-worked,296272,Assoc-acdm,13,Never-married,Sales,Not-in-family,White,Male,88146,299,46,Yugoslavia,>50K
44,23,Local-gov,138150,HS-grad,8,Never-married,Exec-managerial,Husband,White,Male,67692,0,23,United-States,<=50K
45,35,Never-worked,272285,Some-college,9,Never-married,Other-service,Husband,White,Male,24998,42,43,United-States,<=50K
46,32,Local-gov,326569,Some-college,7,Married-spouse-absent,Sales,Husband,White,Male,97320,0,36,United-States,>50K
47,43,Never-worked,164535,HS-grad,8,Married-spouse-absent,Transport-moving,Husband,White,Male,97813,147,60,United-States,>50K
48,55,Never-worked,378263,Some-college,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,52965,447,43,United-States,<=50K
49,60,Never-worked,369301,Some-college,11,Married-AF-spouse,Exec-managerial,Husband,White,Male,99295,59,40,United-States,>50K
50,17,Local-gov,188456,HS-grad,8,Never-married,Prof-specialty,Husband,White,Male,5216,31,38,United-States,<=50K
51,41,Never-worked,324609,HS-grad,10,Divorced,Protective-serv,Husband,White,Male,9894,1009,34,United-States,<=50K
52,65,Never-worked,293259,HS-grad,7,Separated,Exec-managerial,Husband,White,Male,1379,538,19,United-States,<=50K
53,39,Never-worked,133478,10th,7,Married-spouse-absent,Craft-repair,Husband,White,Male,9792,2,50,France,>50K
54,33,Never-worked,62946,HS-grad,13,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,80161,3938,55,United-States,>50K
55,49,Never-worked,147421,HS-grad,8,Never-married,Prof-specialty,Husband,White,Male,4737,110,37,United-States,<=50K
56,31,Never-worked,140996,Some-college,12,Never-married,Prof-specialty,Husband,White,Male,699,7,68,United-States,>50K
57,71,Never-worked,158604,Bachelors,12,Married-spouse-absent,Other-service,Husband,White,Male,80486,4061,62,United-States,>50K
58,24,Never-worked,81810,Some-college,13,Never-married,?,Husband,White,Male,42613,4243,32,United-States,<=50K
59,33,Never-worked,110883,Assoc-acdm,11,Divorced,Transport-moving,Husband,White,Male,9851,1,44,Germany,<=50K
60,37,Never-worked,250269,HS-grad,14,Married-spouse-absent,Adm-clerical,Husband,White,Male,54941,1095,43,United-States,>50K
61,53,Never-worked,75807,HS-grad,11,Never-married,Protective-serv,Not-in-family,White,Male,121,4308,35,United-States,<=50K
62,58,Never-worked,163154,Some-college,10,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,4270,13,58,United-States,<=50K
