,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
0,26,4,176694,15,10,4,12,3,4,1,0,0,23,39,0
1,30,4,110465,11,7,0,12,4,2,0,2,0,40,39,0
2,28,4,196655,15,10,5,1,4,4,0,2,0,34,39,0
3,56,4,146739,1,7,2,7,0,4,1,1,0,40,39,0
4,44,4,192276,15,10,5,4,1,4,0,0,0,51,39,0
5,53,4,102813,9,13,2,10,0,4,1,0,0,40,39,1
6,51,7,85214,9,13,0,4,4,4,0,1,0,54,39,0
7,40,4,160290,11,9,2,3,0,4,1,2,1,47,39,1
8,21,4,77726,11,7,0,6,3,4,1,0,0,40,39,0
9,30,7,84203,15,10,4,8,4,4,0,0,0,40,39,0
10,22,4,113268,11,7,4,12,1,2,1,0,0,40,39,0
11,22,7,127209,9,13,4,10,3,4,0,0,0,19,39,0
12,58,4,113572,11,9,2,14,0,2,1,0,0,40,39,0
13,24,2,89826,15,10,4,10,3,4,1,0,0,27,39,0
14,41,4,100745,15,10,0,11,1,4,0,2,1,40,39,0
15,66,4,173225,11,9,2,4,0,4,1,1,0,51,39,0
16,52,2,229923,11,9,0,3,1,4,1,0,0,45,39,0
17,52,4,126607,5,4,2,8,5,4,0,0,0,27,39,0
18,35,4,105278,9,13,4,10,3,4,0,0,0,40,39,0
19,23,6,141049,15,10,2,3,0,4,1,1,0,40,39,0
20,59,0,172349,6,4,6,0,4,4,0,0,0,33,39,0
21,64,4,116383,15,10,6,4,4,2,0,0,0,40,39,0
22,69,0,98813,9,13,2,12,1,4,0,0,0,40,39,0
23,32,4,141351,15,10,4,5,1,1,1,1,0,48,39,0
24,52,7,134013,7,12,2,8,0,1,1,1,1,40,39,0
25,55,4,201903,9,13,2,4,0,4,1,1,0,46,39,1
26,58,4,167431,11,9,6,1,1,4,0,0,0,40,39,0
27,51,4,113629,12,14,0,4,4,4,0,1,0,40,39,1
28,18,4,178285,7,12,4,8,1,4,1,0,1,40,39,0
29,27,4,204495,15,10,0,1,5,4,0,1,0,40,39,0
30,37,2,208337,11,9,5,3,4,1,1,0,0,47,39,0
31,23,4,128803,15,10,4,13,1,4,0,0,0,37,39,0
32,58,4,86860,5,4,2,8,0,4,1,1,0,40,39,0
33,26,4,193260,8,11,2,3,0,2,1,0,0,40,39,0
34,31,4,211532,7,12,2,12,0,4,1,2,0,40,39,0
35,43,2,187697,9,13,0,10,1,4,1,0,0,58,39,0
36,47,4,119354,15,10,5,3,1,4,1,0,0,40,39,0
37,57,4,210958,9,13,2,12,5,4,0,3,0,49,39,1
38,22,4,171566,11,9,0,7,3,4,1,1,0,52,39,0
39,46,4,165090,15,10,0,7,1,4,1,0,0,55,39,0
40,41,6,202029,11,9,0,3,1,2,1,0,0,40,39,0
41,39,2,186096,11,9,2,3,0,4,1,0,0,40,39,1
42,29,7,134611,9,13,2,11,0,4,1,0,0,26,39,0
43,24,4,222571,9,13,2,12,0,2,1,3,1,40,39,1
44,46,4,88780,11,9,2,3,0,4,1,0,0,40,39,0
45,20,4,192339,11,7,4,6,3,2,0,0,0,30,39,0
46,28,4,102304,15,10,4,13,1,4,0,0,0,35,39,0
47,38,6,73758,11,7,2,5,0,4,1,1,0,53,39,0
48,19,4,174214,1,7,4,7,3,4,1,0,0,24,39,0
49,24,4,174534,15,10,4,7,1,4,1,0,0,40,39,0
50,30,4,167599,9,13,2,7,0,4,1,0,0,61,39,0
51,43,2,105819,12,14,0,4,4,4,0,0,0,47,39,1
52,17,7,126780,9,13,4,4,3,4,0,0,0,4,39,0
