,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,26, Federal-gov,328754, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
1,39, Private,302720, 11th,7, Divorced, Sales, Unmarried, White, Female,18,0,35, United-States, <=50K
2,21, Private,377431, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,31, United-States, <=50K
3,80, Private,261794, HS-grad,9, Separated, Sales, Unmarried, White, Female,0,0,11, ?, <=50K
4,72, Private,120843, 9th,6, Widowed, Sales, Not-in-family, White, Female,0,0,36, United-States, <=50K
5,22, ?,200496, 7th-8th,3, Never-married, ?, Not-in-family, Other, Female,0,0,40, Puerto-Rico, <=50K
6,28, Private,136846, Assoc-voc,11, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
7,30, Private,306304, Assoc-voc,11, Married-civ-spouse, Sales, Husband, Black, Male,0,1,40, United-States, <=50K
8,52, Self-emp-not-inc,230428, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,6,0,40, United-States, <=50K
9,26, Private,105446, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
10,33, Federal-gov,180105, Bachelors,13, Never-married, Prof-specialty, Unmarried, Black, Female,2,2094,57, Columbia, <=50K
11,31, Federal-gov,92351, Doctorate,15, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,40, India, <=50K
12,29, Private,119718, Some-college,10, Never-married, Adm-clerical, Unmarried, White, Female,9,1,40, United-States, <=50K
13,33, State-gov,275026, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
14,27, Private,124014, Bachelors,13, Never-married, Prof-specialty, Own-child, Black, Female,0,0,30, United-States, <=50K
15,73, Private,223927, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,14999,0,40, United-States, >50K
16,44, Federal-gov,148646, Assoc-acdm,13, Never-married, Tech-support, Not-in-family, White, Female,14,2066,40, United-States, <=50K
17,25, Private,206466, HS-grad,9, Never-married, Priv-house-serv, Own-child, White, Female,0,0,40, United-States, <=50K
18,30, Private,259778, 9th,6, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
19,23, Private,151295, 7th-8th,5, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, India, <=50K
20,53, State-gov,131850, Doctorate,16, Married-civ-spouse, Prof-specialty, Wife, White, Male,54,0,40, United-States, >50K
21,49, Private,126085, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,21,0,40, United-States, <=50K
22,74, Self-emp-not-inc,34361, Assoc-acdm,13, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,57, United-States, <=50K
23,40, Private,234308, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Female,5,0,40, United-States, <=50K
24,36, Private,172851, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,1837,40, United-States, <=50K
25,18, Private,29624, Some-college,10, Never-married, Farming-fishing, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Columbia, <=50K
26,24, Private,181762, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,10,1772,40, United-States, <=50K
27,22, Private,154482, 11th,7, Never-married, Machine-op-inspct, Not-in-family, White, Female,44,0,40, United-States, <=50K
28,21, Private,162579, 7th-8th,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
29,47, Self-emp-not-inc,135995, HS-grad,7, Divorced, Prof-specialty, Not-in-family, White, Female,6,0,30, United-States, <=50K
30,24, Private,151757, HS-grad,9, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,58, United-States, <=50K
31,46, Private,180063, 5th-6th,5, Separated, Craft-repair, Not-in-family, White, Male,2808,0,40, Cuba, <=50K
32,30, Private,126169, Masters,14, Married-civ-spouse, Exec-managerial, Wife, Black, Female,23,0,40, United-States, >50K
33,39, Private,556672, Bachelors,13, Divorced, Exec-managerial, Unmarried, White, Female,9,1,40, United-States, <=50K
34,43, Private,159067, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, >50K
35,65, Without-pay,188761, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
36,33, State-gov,277781, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Black, Male,8057,0,40, United-States, >50K
37,35, Private,76422, 11th,7, Separated, Sales, Not-in-family, Black, Female,0,0,30, United-States, <=50K
38,30, Private,109430, HS-grad,9, Married-AF-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
39,29, Private,77533, Assoc-voc,11, Married-AF-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
40,41, Private,103504, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Columbia, <=50K
41,20, Private,120593, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Male,10,0,40, United-States, <=50K
42,73, Private,180456, Masters,14, Married-civ-spouse, Transport-moving, Husband, White, Male,11,0,49, Canada, <=50K
43,38, Private,393181, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
44,19, Private,82034, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,17,0,40, Mexico, <=50K
45,17, Private,280761, 11th,7, Never-married, Other-service, Other-relative, Black, Male,0,0,40, United-States, <=50K
46,45, Private,186581, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
47,64, Self-emp-not-inc,120582, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,72, United-States, <=50K
48,30, Private,130140, Assoc-voc,11, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,57, United-States, <=50K
49,59, State-gov,176632, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
50,24, Private,375477, 5th-6th,9, Never-married, Adm-clerical, Other-relative, Asian-Pac-Islander, Female,12,0,23, South, <=50K
51,31, Private,171977, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,1,40, United-States, <=50K
52,32, Self-emp-inc,216920, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Male,7402,0,50, United-States, >50K
53,22, State-gov,219925, 11th,7, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
54,21, Private,341276, 10th,6, Never-married, Tech-support, Not-in-family, White, Female,22,0,40, United-States, <=50K
55,32, Private,121049, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1845,50, United-States, <=50K
56,29, ?,374009, Bachelors,13, Widowed, ?, Not-in-family, White, Female,0,1,30, United-States, <=50K
57,18, ?,141468, HS-grad,9, Never-married, ?, Own-child, White, Male,0,0,20, United-States, <=50K
58,58, Self-emp-not-inc,541929, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,57, United-States, <=50K
59,28, Private,227643, HS-grad,9, Separated, Other-service, Own-child, Black, Male,0,0,40, United-States, <=50K
60,47, Private,243186, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,13,0,40, United-States, >50K
61,56, Federal-gov,192966, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,14570,0,49, United-States, >50K
62,29, Private,324102, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,19,0,40, United-States, <=50K
63,21, Private,189480, 11th,7, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,8, Jamaica, <=50K
64,33, Private,161172, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
65,67, Private,160467, 11th,9, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
66,20, Private,198681, HS-grad,9, Never-married, Craft-repair, Other-relative, White, Female,0,0,23, United-States, <=50K
67,23, Private,162228, HS-grad,9, Never-married, Transport-moving, Own-child, Black, Male,0,0,40, United-States, <=50K
68,45, Self-emp-not-inc,142136, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,7807,1744,40, United-States, >50K
69,27, Private,323825, HS-grad,9, Never-married, Exec-managerial, Own-child, Black, Female,10,0,30, United-States, <=50K
70,53, Private,285465, Some-college,10, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
71,63, Private,185298, 5th-6th,3, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
72,30, Private,281856, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,36, United-States, >50K
73,66, Private,262314, Some-college,10, Never-married, Other-service, Not-in-family, Other, Male,0,0,23, England, <=50K
74,32, Private,199379, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,23, United-States, <=50K
75,58, ?,118460, HS-grad,9, Widowed, ?, Not-in-family, White, Male,0,0,10, United-States, <=50K
76,36, Private,100845, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, China, >50K
77,30, ?,134914, HS-grad,9, Separated, ?, Other-relative, Asian-Pac-Islander, Male,0,0,12, Vietnam, <=50K
78,52, State-gov,75891, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,52,0,50, United-States, >50K
79,64, Private,247498, Some-college,4, Married-civ-spouse, Machine-op-inspct, Other-relative, White, Male,0,0,40, Mexico, <=50K
80,67, Self-emp-not-inc,154776, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,18, United-States, <=50K
81,66, Self-emp-not-inc,43236, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,15539,1,50, United-States, >50K
82,39, Private,138377, Bachelors,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
83,53, Self-emp-inc,108856, Assoc-voc,7, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
84,47, Private,77642, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,44, United-States, <=50K
85,50, ?,213364, Assoc-acdm,13, Widowed, ?, Not-in-family, White, Female,4378,1,40, El-Salvador, <=50K
86,18, ?,250869, HS-grad,9, Never-married, ?, Own-child, White, Female,0,0,13, ?, <=50K
87,33, Private,232958, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,20,0,56, United-States, <=50K
88,21, ?,368311, 9th,9, Never-married, ?, Own-child, White, Female,0,0,6, United-States, <=50K
89,37, Private,127030, Some-college,10, Married-civ-spouse, Transport-moving, Husband, Black, Male,6,0,40, United-States, <=50K
90,44, Private,287748, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, Black, Female,15,0,34, Jamaica, <=50K
91,46, Private,124569, 1st-4th,3, Married-spouse-absent, Machine-op-inspct, Unmarried, White, Male,0,0,40, Puerto-Rico, <=50K
92,30, Private,192895, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
93,38, Private,81238, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,7961,0,57, United-States, >50K
