,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,20,4,146093,15,10,0,8,1,4,0,0,0,40,39,0
1,39,0,152987,11,9,2,6,0,1,1,0,0,32,39,0
2,55,5,211612,6,5,3,9,1,4,1,5612,0,40,39,0
3,30,4,212533,9,13,2,3,0,1,1,0,0,40,16,0
4,60,4,57584,11,9,2,7,0,4,1,0,0,40,39,0
5,23,5,74637,9,13,2,10,5,4,0,6146,0,48,9,0
6,28,7,30641,11,9,4,4,1,4,1,0,0,32,39,0
7,59,5,101014,10,16,2,10,0,4,1,6912,0,40,39,1
8,34,4,34423,15,10,2,13,3,4,1,0,0,40,39,0
9,41,3,280815,11,9,2,6,0,4,1,0,0,40,39,0
10,26,4,283724,6,6,0,8,4,2,0,0,0,40,39,0
11,30,1,81800,11,9,0,3,1,1,1,0,0,40,19,0
12,36,4,197996,7,12,2,10,0,4,1,7190,0,40,39,1
13,19,4,223965,11,9,4,11,3,4,1,0,0,40,39,0
14,44,6,82260,11,9,0,1,4,2,0,0,0,40,39,0
15,59,6,114256,11,9,2,3,0,4,1,0,0,40,39,0
16,41,6,130170,0,7,2,5,0,4,1,0,0,51,39,0
17,63,0,172232,15,10,0,0,3,4,0,0,0,40,39,0
18,24,5,39421,11,9,0,7,1,4,0,0,0,40,39,0
19,25,4,564186,9,13,0,8,3,2,0,0,0,40,23,0
20,22,4,419399,11,9,4,6,3,4,1,0,0,40,39,0
21,50,0,20721,12,14,6,8,4,2,0,0,0,40,39,0
22,46,6,357316,2,7,2,5,0,4,1,0,0,60,39,0
23,43,4,86826,15,10,4,13,3,4,1,0,0,40,39,0
24,54,6,102886,15,3,6,8,1,4,0,0,0,40,39,0
25,29,6,63679,8,11,2,4,0,0,1,0,0,31,4,0
26,48,6,63726,15,10,2,10,0,4,1,0,0,40,39,0
27,49,4,174746,4,6,2,12,0,4,1,0,0,40,39,0
28,24,0,74721,14,16,4,0,1,4,1,0,0,40,39,0
29,21,4,350079,15,10,4,1,3,4,0,0,0,40,36,0
30,48,2,195902,15,10,4,10,1,2,1,0,0,40,39,0
31,61,7,73281,11,9,5,3,5,4,0,0,0,14,5,0
32,17,4,203675,1,7,4,9,3,4,0,0,0,7,39,0
33,30,4,193418,15,10,4,1,3,4,0,0,0,40,39,0
34,63,4,51731,12,14,6,8,4,4,0,7547,0,40,39,1
35,36,6,186779,11,9,0,3,4,4,1,0,0,48,39,0
36,40,5,312382,10,16,0,10,0,2,1,0,1813,49,19,1
37,19,4,58215,11,9,4,8,3,4,0,0,0,20,39,0
38,76,5,31671,11,9,6,3,1,4,0,0,0,40,39,0
39,45,2,107100,15,10,6,10,4,4,0,0,0,40,39,0
40,35,2,169016,8,11,2,13,0,4,1,0,0,33,39,0
41,47,2,151300,11,9,1,1,5,4,0,0,0,40,39,0
42,60,4,289526,2,6,4,1,2,2,0,0,0,40,33,0
43,32,7,173785,11,10,4,1,3,4,0,0,0,40,39,0
44,45,4,169340,0,6,4,6,3,4,1,0,0,40,39,0
45,61,0,288059,11,9,0,0,1,4,1,0,0,40,39,0
46,43,4,69088,11,9,1,1,5,4,0,0,0,32,2,0
47,29,3,205961,11,9,0,0,1,4,1,0,0,40,39,0
48,40,5,186174,10,16,2,10,0,4,1,0,0,70,39,1
49,32,7,70090,15,10,0,4,1,4,1,0,0,40,39,0
50,58,6,295408,4,4,5,8,1,4,1,0,0,31,2,0
51,46,2,477309,9,13,2,10,5,4,0,6754,0,40,39,1
52,64,6,53113,14,4,2,5,0,4,1,0,0,67,39,0
53,38,5,263617,12,14,4,10,4,4,1,0,0,49,39,0
54,24,4,123337,11,9,1,7,5,2,0,0,0,40,39,0
55,57,5,31333,11,9,2,3,0,4,1,0,0,46,39,0
56,40,1,213639,15,10,1,1,5,4,0,3407,0,24,39,0
57,45,2,268609,9,13,2,1,5,4,0,5770,0,30,39,0
58,67,6,46605,11,9,4,3,3,4,1,0,0,20,39,0
59,20,1,102696,11,9,4,8,3,4,1,0,0,31,39,0
60,63,7,145057,8,11,2,1,0,4,1,5165,0,40,39,1
61,42,1,188720,11,14,2,13,2,4,1,6199,0,40,39,1
62,22,4,128754,11,9,4,6,3,4,1,0,0,40,26,0
63,27,4,47245,15,10,4,6,1,4,0,0,0,40,23,0
64,40,5,169948,11,9,2,4,0,4,1,0,0,31,39,0
65,19,4,194352,15,10,4,8,3,4,0,0,0,33,39,0
66,35,4,329381,9,13,2,3,0,4,1,6985,0,46,39,0
67,35,4,93827,9,13,2,13,0,4,1,6564,0,40,39,1
68,20,4,54092,11,9,4,5,3,4,1,0,0,40,39,0
69,45,4,156463,11,9,0,1,4,4,0,0,0,33,39,0
70,39,2,229648,15,10,4,1,3,4,0,0,0,40,39,0
71,30,4,166511,11,9,4,1,2,4,0,0,0,40,35,0
72,64,7,196910,11,9,2,3,0,4,1,7026,0,40,39,1
73,51,4,271375,11,9,4,8,1,4,1,0,0,40,26,0
74,47,4,255414,15,10,5,8,2,4,0,0,0,31,39,0
75,23,4,194742,15,10,4,12,1,4,1,0,0,40,39,0
76,47,4,294254,15,10,4,13,4,2,1,0,0,40,39,0
77,45,5,26060,15,10,4,4,2,4,1,0,0,50,27,0
78,17,4,29950,15,10,4,6,3,4,1,0,0,40,39,0
79,35,5,70631,11,9,6,8,4,4,0,0,0,40,39,0
80,29,7,143212,7,12,4,10,1,4,1,0,0,49,39,0
81,46,5,200119,10,16,2,10,0,4,1,11135,0,66,39,1
82,49,1,157591,11,9,6,12,1,4,0,0,0,30,39,0
83,32,6,218847,11,9,4,5,1,4,1,0,0,40,39,0
84,36,5,98577,11,9,2,7,0,4,1,0,0,40,39,0
85,37,2,142908,11,9,1,1,5,4,0,0,0,40,39,0
86,41,5,118396,7,12,2,8,0,4,1,5414,0,49,30,0
87,28,4,61716,9,9,4,6,3,4,1,0,0,40,39,0
88,59,5,59652,9,13,2,10,0,4,1,0,1862,47,39,1
89,24,4,236713,11,9,4,6,2,2,1,0,0,40,39,0
90,62,4,369090,0,6,0,7,4,2,0,0,0,40,23,0
91,51,4,110836,3,3,4,3,2,4,1,0,0,40,26,0
92,34,4,112860,15,10,0,7,4,4,0,0,0,46,39,0
93,45,5,376622,11,9,2,12,0,4,1,0,0,40,39,1
94,57,7,98769,11,15,0,0,4,4,0,0,0,40,9,1
95,55,4,168200,11,9,6,13,4,4,0,0,0,40,39,0
96,61,4,33769,2,7,4,10,1,4,1,0,0,14,39,0
97,36,4,156992,9,13,2,13,0,4,1,0,0,40,39,0
98,41,4,149247,15,10,2,3,0,4,1,7995,0,40,39,1
99,30,1,281924,11,9,4,5,3,4,1,0,0,40,39,0
100,18,4,35042,15,10,2,14,3,4,1,0,0,40,5,0
101,53,4,154536,12,14,5,10,4,4,1,10795,0,40,39,0
102,43,4,133767,1,7,0,10,3,1,0,0,0,20,19,0
103,23,4,298324,5,6,4,7,4,4,1,0,0,40,39,0
104,56,4,142986,8,10,2,3,0,4,1,0,0,40,39,0
105,47,6,39080,15,10,4,6,3,4,1,0,0,40,39,0
106,33,1,202281,11,9,4,1,4,4,0,0,0,40,39,0
107,38,4,207660,11,9,2,13,0,4,1,0,0,40,39,1
108,42,1,197030,9,13,4,6,2,1,1,7321,0,40,2,0
109,52,2,179123,7,12,0,8,1,4,1,0,0,40,39,0
110,33,1,61752,6,13,4,10,3,4,1,0,0,20,39,0
111,45,4,187748,0,6,2,7,0,4,1,7485,0,40,2,1
112,25,1,49734,4,4,4,8,1,2,1,0,0,40,39,0
113,29,4,162979,11,9,4,8,1,2,0,0,0,33,39,0
114,44,4,96078,6,6,3,6,4,4,1,0,0,40,39,0
115,54,4,30915,15,10,2,13,0,4,1,0,0,46,39,0
116,22,7,34217,15,10,4,12,3,2,1,0,0,48,39,0
117,40,4,175325,7,12,1,8,5,4,0,0,0,31,30,1
118,56,0,42294,11,9,0,0,4,4,0,0,0,40,39,0
119,63,4,139932,6,3,2,7,0,3,1,0,0,40,6,0
120,26,2,204197,7,12,2,1,0,4,1,0,0,47,39,0
121,55,4,120618,15,10,2,3,0,2,1,4859,0,40,39,1
122,30,4,161476,6,5,4,7,1,4,1,0,0,40,39,0
123,56,0,184182,15,10,4,0,5,1,0,0,0,11,35,0
124,44,5,33556,11,9,0,5,4,4,0,0,0,33,39,0
125,33,7,129565,14,15,4,10,1,4,1,0,0,40,39,1
126,47,4,132629,9,13,2,10,5,4,1,0,0,40,39,1
127,37,4,169018,12,14,4,13,3,4,1,0,0,49,39,1
128,57,4,21871,5,3,2,5,0,4,1,0,0,40,39,0
129,42,4,128900,9,13,2,8,0,3,1,0,0,46,0,0
130,30,4,85346,4,3,4,8,4,4,0,0,0,40,26,0
131,64,0,81844,0,6,2,0,0,4,1,0,0,40,39,0
132,40,4,75219,0,11,2,3,0,4,1,5696,0,40,39,1
133,48,4,338909,15,10,6,7,4,0,0,0,0,40,39,0
134,43,4,284257,6,4,0,7,1,4,0,0,0,40,39,0
135,31,4,226430,9,10,2,12,0,4,1,0,0,45,39,0
136,42,4,141057,11,9,0,7,4,4,0,0,0,40,39,0
