,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,50, Private,144839, HS-grad,9, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,65811,0,44, Italy, <=50K
1,40, Never-worked,44931, 10th,10, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,73653,0,38, Holand-Netherlands, <=50K
2,37, Self-emp-not-inc,221729, Assoc-voc,6, Married-civ-spouse, Protective-serv, Husband, White, Male,78379,0,40, Cuba, <=50K
3,58, Self-emp-not-inc,234755, HS-grad,8, Married-civ-spouse, Exec-managerial, Husband, White, Male,9170,0,33, Holand-Netherlands, <=50K
4,21, Self-emp-not-inc,134699, Some-college,8, Married-civ-spouse, Transport-moving, Husband, White, Male,56,49,43, Holand-Netherlands, <=50K
5,73, Self-emp-not-inc,200002, HS-grad,13, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,7370,210,35, Cuba, <=50K
6,27, Self-emp-not-inc,228965, Assoc-voc,10, Married-civ-spouse, Other-service, Not-in-family, White, Male,16177,0,39, Holand-Netherlands, <=50K
7,45, Self-emp-not-inc,397640, Prof-school,9, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,105,0,43, Holand-Netherlands, <=50K
8,54, Private,610198, Bachelors,13, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,29,0,55, Holand-Netherlands, <=50K
9,19, Never-worked,203289, Assoc-voc,10, Married-civ-spouse, Tech-support, Unmarried, White, Male,2929,217,30, Mexico, <=50K
10,51, Self-emp-not-inc,315767, Some-college,12, Married-civ-spouse, Handlers-cleaners, Not-in-family, Other, Male,7577,0,86, Holand-Netherlands, <=50K
11,31, Never-worked,307999, HS-grad,8, Married-civ-spouse, Prof-specialty, Husband, White, Male,1,0,30, Cuba, <=50K
12,55, Self-emp-not-inc,174932, HS-grad,15, Married-civ-spouse, Tech-support, Husband, White, Male,58436,186,62, Holand-Netherlands, >50K
13,61, Self-emp-not-inc,120134, Some-college,9, Married-civ-spouse, Prof-specialty, Other-relative, Other, Male,97876,883,34, Holand-Netherlands, <=50K
14,18, Never-worked,215844, Some-college,8, Married-civ-spouse, Sales, Not-in-family, White, Male,18717,0,41, Holand-Netherlands, <=50K
15,36, Private,314068, 10th,10, Married-civ-spouse, Craft-repair, Other-relative, Amer-Indian-Eskimo, Male,4361,2,57, Cuba, <=50K
16,29, Self-emp-not-inc,513272, HS-grad,10, Married-civ-spouse, Prof-specialty, Own-child, White, Male,14783,0,37, Cuba, <=50K
17,19, Never-worked,190519, 1st-4th,11, Married-civ-spouse, Sales, Not-in-family, White, Male,597,269,44, Holand-Netherlands, <=50K
18,45, Private,152123, Assoc-acdm,8, Married-civ-spouse, Craft-repair, Husband, White, Male,52877,0,39, Holand-Netherlands, <=50K
19,62, Self-emp-not-inc,169492, Assoc-acdm,9, Married-civ-spouse, Transport-moving, Wife, White, Male,33147,270,40, Cuba, <=50K
20,28, Self-emp-not-inc,225637, HS-grad,14, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,47182,0,44, Cuba, <=50K
21,65, Self-emp-not-inc,414716, Bachelors,10, Married-civ-spouse, Protective-serv, Unmarried, White, Male,46682,0,65, Holand-Netherlands, <=50K
22,42, Self-emp-not-inc,105645, HS-grad,11, Married-civ-spouse, Sales, Other-relative, Other, Male,10091,2,46, Holand-Netherlands, <=50K
23,65, Never-worked,162387, Some-college,7, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,12025,36,37, Holand-Netherlands, <=50K
24,35, Self-emp-not-inc,166410, 1st-4th,8, Married-civ-spouse, Craft-repair, Unmarried, White, Male,16554,0,40, Holand-Netherlands, <=50K
25,41, Never-worked,257040, Prof-school,7, Married-civ-spouse, ?, Husband, White, Male,96754,0,48, Holand-Netherlands, <=50K
26,55, Never-worked,127534, 7th-8th,9, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,2863,31,22, Cuba, <=50K
27,40, Never-worked,193431, Some-college,11, Married-civ-spouse, Other-service, Not-in-family, White, Male,447,2,47, Holand-Netherlands, <=50K
28,28, Never-worked,139958, Masters,11, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,99896,36,33, Holand-Netherlands, <=50K
29,49, Never-worked,121879, HS-grad,14, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,30524,0,51, Cuba, <=50K
30,43, Self-emp-not-inc,283921, Assoc-voc,16, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,5274,0,36, Holand-Netherlands, <=50K
31,37, Self-emp-not-inc,253577, HS-grad,11, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,51401,0,43, Holand-Netherlands, >50K
32,19, Self-emp-not-inc,278263, Masters,8, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,11259,1,40, Cuba, <=50K
33,65, Self-emp-not-inc,208539, Bachelors,12, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,19245,8,48, Cuba, <=50K
34,44, Self-emp-not-inc,199834, 10th,4, Married-civ-spouse, Protective-serv, Own-child, White, Male,133,0,26, Holand-Netherlands, <=50K
35,37, Self-emp-not-inc,355814, Some-college,10, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,99676,0,46, Cuba, <=50K
36,65, Self-emp-not-inc,114071, HS-grad,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,84718,0,30, Cuba, <=50K
37,44, Self-emp-not-inc,135949, 10th,9, Married-civ-spouse, Exec-managerial, Other-relative, White, Male,10515,2,44, Holand-Netherlands, <=50K
38,28, Self-emp-not-inc,106033, Assoc-voc,8, Married-civ-spouse, Other-service, Unmarried, White, Male,26702,111,55, Holand-Netherlands, <=50K
39,22, ?,401425, 10th,6, Married-civ-spouse, Craft-repair, Husband, Other, Male,34055,0,55, Holand-Netherlands, <=50K
40,33, Self-emp-not-inc,207726, Some-college,6, Married-civ-spouse, ?, Unmarried, White, Male,9785,0,31, Holand-Netherlands, <=50K
41,27, Never-worked,157065, Assoc-voc,8, Married-civ-spouse, Exec-managerial, Husband, White, Male,2512,0,48, Cuba, <=50K
42,63, Self-emp-not-inc,323309, HS-grad,11, Married-civ-spouse, Sales, Not-in-family, Other, Male,154,2,52, Holand-Netherlands, <=50K
43,35, Self-emp-not-inc,144882, HS-grad,13, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,12533,51,35, Holand-Netherlands, <=50K
44,29, Never-worked,220357, Masters,6, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,4717,0,32, Jamaica, <=50K
45,42, Self-emp-not-inc,247919, Masters,9, Married-civ-spouse, Other-service, Not-in-family, White, Male,39603,0,51, Holand-Netherlands, <=50K
46,70, Never-worked,308781, HS-grad,12, Married-civ-spouse, ?, Not-in-family, White, Male,8,2,61, Holand-Netherlands, <=50K
47,55, Never-worked,156358, Assoc-acdm,12, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,50001,139,53, Cuba, <=50K
48,26, Private,57678, HS-grad,9, Married-civ-spouse, ?, Not-in-family, White, Male,1587,89,65, Holand-Netherlands, <=50K
49,41, Self-emp-not-inc,132113, Bachelors,14, Married-civ-spouse, ?, Not-in-family, White, Male,4002,0,56, Cuba, <=50K
50,56, Never-worked,295024, 10th,8, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,337,0,26, Holand-Netherlands, <=50K
51,49, Self-emp-not-inc,110049, Some-college,9, Married-civ-spouse, Sales, Husband, White, Male,94937,0,44, Holand-Netherlands, <=50K
52,30, Self-emp-not-inc,12728, Assoc-acdm,7, Married-civ-spouse, ?, Unmarried, White, Male,36997,0,46, Mexico, <=50K
53,66, Self-emp-not-inc,268768, Some-college,11, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,995,0,62, Cuba, <=50K
54,70, ?,221723, Some-college,13, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,78643,631,30, Cuba, <=50K
55,31, Self-emp-not-inc,154634, Some-college,5, Married-civ-spouse, Prof-specialty, Husband, Other, Male,87255,0,45, Holand-Netherlands, <=50K
56,49, Self-emp-not-inc,360017, HS-grad,8, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,40088,3,43, Holand-Netherlands, <=50K
57,54, Self-emp-not-inc,253399, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,40652,41,60, Cuba, >50K
58,44, Self-emp-not-inc,231345, Masters,10, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,93752,1,26, Cuba, <=50K
59,47, Never-worked,77734, Assoc-voc,10, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,6773,0,50, Cuba, <=50K
60,55, Self-emp-not-inc,75562, Masters,13, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,29594,1,35, Jamaica, <=50K
61,36, Self-emp-not-inc,149493, Some-college,9, Married-civ-spouse, Exec-managerial, Other-relative, White, Male,95031,2,21, Holand-Netherlands, >50K
62,22, Self-emp-not-inc,165946, Assoc-acdm,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,6877,0,60, Cuba, <=50K
