,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,19,0,115849,15,10,4,0,3,4,1,0,0,13,39,0
1,31,4,135644,15,10,2,4,5,4,0,2,0,40,39,1
2,38,4,103907,12,14,2,4,0,4,1,15545,0,40,39,1
3,27,4,148518,15,10,4,12,3,4,1,3390,0,40,39,0
4,67,6,117334,15,10,0,8,1,4,0,0,0,12,39,0
5,20,4,100950,11,9,4,7,3,4,0,0,0,40,39,0
6,67,6,54999,11,9,0,8,1,4,0,1,0,30,39,0
7,21,4,169974,11,9,4,6,3,2,0,2,0,22,39,0
8,27,4,125204,11,9,4,8,1,1,1,3970,0,40,39,0
9,23,4,101066,11,9,4,3,3,1,1,2,0,40,39,0
10,41,4,144579,11,9,2,3,0,4,1,0,0,40,39,1
11,24,7,124543,8,11,4,1,3,4,1,0,0,40,39,0
12,32,4,130016,10,6,4,12,1,2,1,0,0,40,39,0
13,57,4,230197,0,6,5,8,4,4,0,0,0,40,39,0
14,54,4,113815,6,5,0,3,1,4,1,2,0,40,39,0
15,36,4,69112,11,9,5,4,1,2,1,1,0,40,39,1
16,36,2,108134,9,13,2,10,0,4,1,1,1887,40,39,1
17,59,4,150948,15,10,2,12,0,4,1,0,0,40,39,0
18,57,4,68473,9,13,6,8,1,4,0,0,0,7,39,0
19,36,4,111530,15,10,0,1,1,1,1,1,0,40,30,0
20,62,4,76896,11,9,4,5,1,4,1,0,0,40,39,0
21,30,4,190591,11,9,4,7,1,4,1,0,0,50,39,0
22,25,4,201761,15,10,4,3,3,4,1,0,0,40,39,0
23,29,2,125954,11,9,2,5,0,4,1,1,0,40,39,0
24,25,6,137211,15,10,4,3,3,4,1,2,0,40,39,0
25,20,0,179609,1,7,4,0,2,4,0,1,0,8,39,0
26,26,4,113764,15,10,4,1,1,4,1,0,0,40,39,0
27,32,4,100710,11,9,2,8,5,4,0,2,0,40,39,0
28,37,2,138788,11,9,0,3,1,4,1,0,0,40,39,0
29,35,4,92917,11,9,2,3,0,4,1,1,0,40,39,0
30,62,4,159212,11,9,2,3,0,4,1,0,0,50,39,0
31,26,4,64746,15,10,4,4,1,4,1,0,0,40,39,0
32,27,4,96198,15,10,4,12,1,4,0,1,0,40,39,0
33,23,0,101051,14,15,4,10,3,4,0,0,0,40,39,0
34,50,4,128012,9,13,2,10,0,4,0,3,0,40,39,0
35,30,0,75329,11,9,2,0,5,4,0,0,0,40,39,0
36,19,4,124567,15,10,4,1,3,4,1,0,0,40,39,0
37,43,4,217841,11,9,2,7,0,4,1,3,0,40,39,1
38,43,6,130570,9,13,2,4,0,4,1,1,0,62,39,0
39,56,7,75688,0,6,2,0,0,4,1,1,0,40,39,0
40,30,4,101824,1,14,4,8,4,4,0,0,0,40,39,0
41,28,4,82333,9,13,4,12,1,4,1,0,0,40,39,0
42,23,2,118009,0,6,4,10,1,4,1,0,0,40,39,0
43,25,4,109373,11,9,4,5,3,4,1,2,0,40,39,0
44,55,0,74564,9,13,6,0,1,4,0,0,0,14,39,0
45,40,4,112405,0,6,2,8,0,4,1,0,0,40,39,0
46,27,4,88165,11,9,4,8,3,4,0,0,0,11,39,0
47,39,4,106118,8,11,0,3,1,4,1,1,0,40,39,0
48,28,4,201510,9,13,4,12,1,4,1,0,0,40,39,0
49,23,4,86993,15,10,4,4,3,4,1,0,0,40,39,0
50,44,4,180755,11,9,0,0,4,4,0,0,0,37,39,0
51,46,6,76365,15,10,2,4,0,4,1,0,0,40,39,0
52,37,4,126328,11,9,0,4,1,4,1,0,0,45,39,0
53,43,4,107202,11,9,4,1,1,4,0,0,1,40,39,0
54,21,4,250666,2,8,4,3,3,4,1,3,0,40,39,0
55,34,4,104085,15,10,4,10,1,4,0,14740,0,40,39,1
56,47,0,123902,12,14,2,10,5,4,0,0,0,40,39,1
57,56,4,103920,9,13,2,12,0,4,1,2,1798,43,39,1
58,37,6,95996,11,9,0,1,1,4,0,1,0,37,39,0
59,52,4,103567,11,9,0,1,4,4,0,0,0,40,39,0
60,44,4,44681,11,9,2,7,0,4,1,7360,0,40,39,1
61,38,4,249163,6,3,5,7,4,2,0,0,0,40,26,0
62,27,4,86843,11,9,2,4,0,4,1,3,0,40,39,0
63,59,4,87412,7,12,2,12,0,4,1,7964,0,40,39,1
64,22,4,133965,9,13,4,10,3,1,1,4,0,40,36,0
65,18,4,134471,11,9,4,6,3,2,0,3,0,23,39,0
66,27,2,162534,6,10,2,8,0,1,1,0,0,22,30,0
67,49,6,121923,15,10,2,12,0,4,1,1,0,40,39,1
68,27,4,111455,11,9,2,3,0,4,1,3,0,40,39,0
69,47,4,79193,6,5,2,7,0,4,1,1,0,40,39,0
70,35,4,190109,11,9,2,7,0,4,1,2,0,40,39,0
71,21,4,182224,9,13,4,9,3,4,0,0,0,12,39,0
72,55,5,92065,9,13,2,4,0,4,1,2,0,40,39,1
73,48,4,137786,15,10,2,3,0,4,1,0,0,40,39,1
74,35,4,110408,11,9,0,1,4,4,0,1,0,40,39,0
75,36,4,90309,11,9,2,3,0,4,1,3770,0,40,39,0
76,37,4,320517,11,9,2,1,5,2,0,1,0,40,39,0
77,34,4,416310,9,13,2,1,0,4,1,3,1884,40,39,1
78,43,4,148963,11,9,2,4,0,4,1,0,0,49,39,1
79,22,4,215801,11,9,4,1,3,4,0,1,0,23,39,0
80,26,4,139409,11,9,4,7,2,3,0,0,0,40,39,0
81,39,4,107628,15,10,0,1,4,4,0,0,0,40,39,0
82,54,4,124974,0,5,6,3,1,4,1,0,0,20,39,0
83,48,2,120288,15,10,0,10,4,4,0,0,0,40,39,0
84,26,4,86590,12,14,4,10,1,4,0,0,0,43,39,0
85,43,4,156560,9,13,4,10,1,4,1,0,1917,45,39,1
86,32,2,123278,9,13,4,10,1,4,0,0,0,40,39,0
87,19,4,157388,8,11,4,12,3,4,0,0,0,21,39,0
88,21,4,124045,9,13,4,12,3,2,1,0,0,40,39,0
89,39,2,95643,11,9,2,14,0,1,1,8,0,40,39,0
90,34,4,136245,11,9,0,14,1,4,1,1,0,40,39,0
91,68,6,153116,9,13,2,4,0,4,1,0,0,40,39,0
92,35,2,126238,15,10,2,3,0,4,1,3,0,40,39,0
93,52,4,73959,12,14,2,4,0,1,1,0,0,40,39,1
94,21,4,152255,11,9,4,6,1,4,1,0,0,30,39,0
95,26,4,132503,9,13,4,1,1,4,0,0,0,40,39,0
96,46,5,84786,12,14,2,12,0,4,1,3,0,58,39,1
97,36,4,178176,11,9,5,7,1,4,1,4,0,40,39,0
98,48,4,85674,1,4,2,7,0,1,1,0,0,40,39,0
99,63,0,70363,4,3,2,0,0,4,1,0,0,40,39,0
100,35,4,131065,15,10,2,4,5,4,0,0,0,40,39,0
101,52,6,170052,2,8,2,14,0,4,1,0,0,40,39,0
102,49,4,74272,11,9,2,3,0,4,1,1,0,44,39,1
103,44,4,213038,15,10,5,12,4,4,0,0,0,40,39,0
104,40,4,107176,10,16,2,4,0,4,1,0,0,40,39,1
105,44,0,92137,6,4,0,0,2,2,0,0,0,24,39,0
106,40,4,148167,11,9,2,7,0,4,1,0,0,40,39,1
107,35,4,103017,9,13,4,10,1,4,1,0,0,45,39,0
108,32,4,95956,10,16,4,10,1,4,0,0,0,40,39,0
109,30,4,208677,9,13,4,10,1,4,1,1,0,40,39,0
110,72,4,141434,11,9,6,12,4,4,0,3,0,35,39,0
111,49,4,120757,12,14,0,10,4,4,0,1,0,40,39,1
112,42,4,129323,12,14,0,10,1,4,0,0,0,40,39,1
113,36,4,108394,0,6,2,8,0,4,1,0,0,40,39,0
114,65,4,132649,0,4,2,3,0,2,1,2,1,40,39,1
115,49,4,150075,11,9,0,12,1,4,0,0,0,44,39,0
116,65,4,91801,11,9,2,8,0,4,1,0,0,22,39,0
117,26,6,114704,1,7,4,3,3,4,1,0,0,51,39,0
118,33,4,119448,11,9,0,3,1,4,0,1,0,40,39,0
119,34,4,83683,0,7,2,10,5,4,0,0,0,40,39,0
120,63,2,89376,3,5,0,8,1,4,1,1,0,40,39,0
121,26,4,148159,12,6,4,10,1,4,0,0,0,40,39,0
122,23,6,123489,15,10,2,8,0,4,1,4,0,27,39,0
123,58,4,115379,11,9,4,3,1,4,1,1,0,40,39,0
124,41,4,127684,11,9,5,7,1,2,1,1,0,40,39,0
125,36,4,120028,11,9,0,1,4,2,0,0,0,40,39,0
