,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
0,16007,1021,2847,0,21004,4.258092,0,36
1,19952,609,3089,3,22094,0.35592395,2160,36
2,17161,2341,2495,2,19274,1.6519058,0,36
3,3585,689,22,24,6400,0.48924443,2157,36
4,4982,1293,979,1,2528,1.035725,3849,36
5,9076,1018,3298,5,7569,2.0794458,0,36
6,9231,3041,1115,1,9985,8.657251,2803,36
7,4049,1323,211,5,3145,1.5893843,1356,36
8,8987,2172,3774,6,10345,1.1132977,923,36
9,19315,2333,1712,6,22503,1.3124744,4058,36
10,18209,2221,3793,1,18466,0.10583203,1166,36
11,16669,2045,3715,1,20964,7.1446505,0,36
12,7656,1614,1827,-2,12271,3.6942513,3244,36
13,15449,3122,2128,1,14827,0.86089486,3977,36
14,12358,1143,664,13,16812,0.77777076,263,14
15,20572,3720,1852,4,20414,0.91628397,0,36
16,18210,3819,1757,2,22227,1.4320455,400,36
17,9666,2039,2838,1,10131,1.3543841,0,36
18,5336,1639,3609,2,6007,12.485619,0,36
19,7456,2167,3123,2,8979,10.860831,49,32
20,17322,2391,40,14,18456,0.4488339,3533,36
21,13467,2223,2659,9,15223,1.5125444,3274,36
22,16517,1649,2209,77,18155,-0.33613387,274,10
23,17133,1013,2272,11,18639,0.6390229,351,14
24,17663,3426,258,9,17776,1.253306,2731,36
25,2618,1148,636,3,1197,5.6685977,482,36
26,1184,1565,533,1,2818,5.435854,2616,36
27,16374,1889,2923,1,17928,1.0392476,0,36
28,6707,2229,2504,2,6366,0.9621235,3186,36
29,14700,1920,1864,10,12666,1.3711271,1451,36
30,4335,2359,1741,2,3955,4.8473516,576,36
31,20743,2521,4006,-2,18356,6.5926757,0,36
32,18345,3681,1898,25,19433,-0.22502145,1822,36
33,1545,1167,1034,0,654,4.4218926,1330,36
34,3962,587,44,1,3392,1.2488828,1614,36
35,115,2733,869,1,286,2.7759771,3954,36
36,13722,1046,1823,5,11894,1.3549161,2540,36
37,149,2642,3384,1,14,2.139527,2575,36
38,17159,2211,2818,45,15949,1.0502648,1918,36
39,7265,2711,1930,2,9962,4.366701,0,36
40,19222,2429,1835,2,20597,0.17654759,4023,36
41,15709,2429,95,1,16423,0.86543137,3984,36
42,4319,730,832,7,2527,0.61372775,33,32
43,25037,1014,843,68,14222,1.3858509,1097,36
44,17761,1850,627,49,18646,1.054341,4080,36
45,17276,2166,3119,9,16632,2.6901746,27,14
46,2780,68,1199,9,2920,1.6450689,0,36
47,18536,3646,79,9,18603,1.3490777,2578,36
48,20106,1266,2459,0,21970,6.6375165,0,36
49,4373,3262,193,7,3756,0.84988207,2898,36
50,19022,1029,1891,76,19790,-0.19030806,2385,36
51,17290,1901,2398,1,16580,1.029243,0,36
52,16531,1215,3280,1,17551,9.9591465,0,36
53,17973,2416,3742,1,20043,7.71856,0,36
54,2538,1353,700,1,814,2.4285426,0,36
55,3321,833,967,2,2248,4.2595477,0,36
56,17134,1137,2373,6,16833,8.29001,3074,36
57,2277,1247,964,1,2223,7.1330132,0,36
58,8905,2725,3139,0,8345,9.786778,0,36
59,14047,3660,4068,3,14781,2.94106,0,36
60,15779,3545,2840,2,17686,3.2640507,3041,36
61,23366,2168,3655,9,15089,1.9905849,2709,36
