,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
0,569420,22721,BLUE SCOTTIE DOG W FLOWER PATTERN,-163,,-31.241419,16999,United Kingdom
1,565426,20728,WHITE SKULL HOT WATER BOTTLE ,-213,,135.23125,16395,United Kingdom
2,566282,22991,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,21,,-18.446865,18118,United Kingdom
3,578506,23480,WALL ART ONLY ONE PERSON ,117,,33.93319,15555,United Kingdom
4,575696,22889,LUNCH BAG ALPHABET DESIGN,-199,,96.00258,14911,United Kingdom
5,548486,22621,75 GREEN FAIRY CAKE CASES,-109,,163.67523,,United Kingdom
6,559068,20707,6 RIBBONS SHIMMERING PINKS ,-87,,-29.464647,15867,United Kingdom
7,537262,20977,REX CASH+CARRY JUMBO SHOPPER,146,,148.48141,17569,United Kingdom
8,542255,22652,CERAMIC CHERRY CAKE MONEY BANK,101,,3.3415873,,United Kingdom
9,543899,22557,LADIES & GENTLEMEN METAL SIGN,73,,-147.76921,,United Kingdom
10,578827,23174,SMALL PARISIENNE HEART PHOTO FRAME ,96,,-57.264206,15136,United Kingdom
11,565919,22674,TRAVEL CARD WALLET FLOWER MEADOW,-15,,73.94104,,United Kingdom
12,544466,72127,200 RED + WHITE BENDY STRAWS,333,,68.20031,16065,United Kingdom
13,555510,82583,LUNCH BAG  BLACK SKULL.,-9,,-26.391352,16516,United Kingdom
14,561702,23121,MISTLETOE HEART WREATH CREAM,47,,71.81108,13467,United Kingdom
15,537209,23007,LUNCH BAG APPLE DESIGN,120,,157.48705,12822,United Kingdom
16,580752,22479,PEACE WOODEN BLOCK LETTERS,202,,-19.81695,16528,United Kingdom
17,578901,22662,LARGE POPCORN HOLDER ,-245,,-35.357464,16059,United Kingdom
18,578696,22241,CHARLIE+LOLA PINK HOT WATER BOTTLE,-338,,61.448204,15125,United Kingdom
19,579553,23263,DOORMAT MULTICOLOUR STRIPE,351,,68.71041,14704,United Kingdom
20,541215,23405,EMBROIDERED RIBBON REEL CLAIRE,-68,,-1.7802117,18097,United Kingdom
21,564039,90175C,RECIPE BOX BLUE SKETCHBOOK DESIGN,110,,-163.88327,12462,United Kingdom
22,541993,21041,SEWING SUSAN 21 NEEDLE SET,-276,,-17.43918,15984,United Kingdom
23,549833,20727,SET OF 20 VINTAGE CHRISTMAS NAPKINS,-238,,-2.0081642,13089,United Kingdom
24,550942,22381, SET 2 TEA TOWELS I LOVE LONDON ,87,,-17.811852,,United Kingdom
25,573413,23583,PANTRY KITCHEN THERMOMETER ,-104,,-121.22163,17777,United Kingdom
26,C545531,20982,LUNCH BAG CARS BLUE,440,,75.616684,,United Kingdom
27,569700,79191C,SMALL RED RETROSPOT WINDMILL,250,,-56.216164,17841,United Kingdom
28,554511,21849,ENGLISH ROSE SCENTED HANGING FLOWER,401,,-31.51456,17059,United Kingdom
29,555510,22268,VINTAGE CARAVAN GIFT WRAP,339,,-217.25204,17463,United Kingdom
30,541696,22203,OFFICE MUG WARMER CHOC+BLUE,56,,-37.91346,17589,United Kingdom
31,575563,22988,PLASTERS IN TIN SPACEBOY,8,,-56.64712,13598,United Kingdom
32,576075,22178,BLACK LOVE BIRD CANDLE,-163,,99.916695,14388,United Kingdom
33,578927,23282,SET OF 4 PANTRY JELLY MOULDS,-418,,0.09215043,17450,United Kingdom
34,568048,22939,SOMBRERO ,-345,,55.08138,13168,United Kingdom
35,545221,21156,ROTATING SILVER ANGELS T-LIGHT HLDR,-242,,87.263054,,United Kingdom
36,579749,22701,FRENCH BLUE METAL DOOR SIGN 8,-271,,-4.3860326,17472,United Kingdom
37,547665,22675,SKULLS WRITING SET ,20,,-54.321465,,United Kingdom
38,575706,21189,SET OF 36 PAISLEY FLOWER DOILIES,139,,-50.75475,13259,United Kingdom
39,570650,79030D,HERB MARKER MINT,11,,-52.8928,,United Kingdom
40,574703,22262,SINGLE HEART ZINC T-LIGHT HOLDER,218,,-45.01851,,United Kingdom
41,542667,22726,ALARM CLOCK BAKELIKE PINK,5,,34.19691,15063,United Kingdom
42,571284,22646,RECYCLING BAG RETROSPOT ,-63,,28.136711,16126,United Kingdom
43,555275,22739,JUMBO BAG OWLS,135,,-44.269188,14240,United Kingdom
44,566634,21934,MINI JIGSAW SPACEBOY,221,,64.28223,12720,United Kingdom
45,575870,22139,EDWARDIAN PARASOL NATURAL,-226,,-20.764374,12359,United Kingdom
46,569897,20728,RIBBON REEL SNOWY VILLAGE,64,,25.143396,17406,United Kingdom
47,540551,22961,CERAMIC STRAWBERRY CAKE MONEY BANK,-55,,6.515059,15311,United Kingdom
48,558707,75049L,12 RED ROSE PEG PLACE SETTINGS,-104,,-39.89321,15296,United Kingdom
49,540839,22894,DOORMAT HOME SWEET HOME BLUE ,-282,,-73.68178,,United Kingdom
50,576329,21914,60 CAKE CASES DOLLY GIRL DESIGN,135,,-46.40072,12442,United Kingdom
51,561332,21509,DOORMAT AIRMAIL ,438,,-83.031715,14096,United Kingdom
52,565481,22094,ROCKING HORSE RED CHRISTMAS ,166,,-121.47708,,United Kingdom
53,581501,22254,SEWING BOX RETROSPOT DESIGN ,-150,,20.04226,17841,United Kingdom
54,577071,23570,LUNCH BAG RED VINTAGE DOILY,-421,,-139.57214,17088,United Kingdom
55,564372,21975,WOODEN PICTURE FRAME WHITE FINISH,234,,17.618587,14688,United Kingdom
56,577051,23493,METAL SIGN DROP YOUR PANTS,95,,-1.4639189,17675,United Kingdom
57,576844,21675,CHARLOTTE BAG PINK POLKADOT,301,,82.756134,,United Kingdom
58,579416,23562,SET OF 6 RIBBONS PARTY,-49,,48.826546,17059,United Kingdom
59,C575042,23131,TREASURE TIN BUFFALO BILL ,72,,58.3004,14547,United Kingdom
60,539196,22383,CUPCAKE LACE PAPER SET 6,157,,5.251148,,United Kingdom
61,558368,22963,RETROSPOT TEA SET CERAMIC 11 PC ,-299,,-33.71046,,United Kingdom
62,573269,85032C,JUMBO BAG ALPHABET,-235,,-55.683514,16931,United Kingdom
63,562417,22960,RED WOOLLY HOTTIE WHITE HEART.,-6,,37.85955,13437,United Kingdom
64,562539,23358,EMBROIDERED RIBBON REEL SALLY ,35,,-12.883502,,United Kingdom
65,569866,21985,REGENCY CAKESTAND 3 TIER,313,,48.052605,14796,United Kingdom
66,537237,21993,WOOD STAMP SET THANK YOU,-173,,-14.041103,,United Kingdom
67,562218,22959,MEASURING TAPE BABUSHKA PINK,-184,,-4.4356623,,United Kingdom
68,565472,23531,HEART MINI PORTRAIT FRAME,-142,,10.532391,16173,United Kingdom
69,575177,21471,PACK 3 FIRE ENGINE/CAR PATCHES,-122,,34.163033,13975,United Kingdom
70,581003,23029,ROLL WRAP 50'S CHRISTMAS,56,,68.44472,15254,United Kingdom
71,539676,22666,"RECORD FRAME 7"" SINGLE SIZE ",-348,,103.64501,,United Kingdom
72,554989,85049E,DOORMAT UNION JACK GUNS AND ROSES,211,,-20.294256,15640,United Kingdom
73,556491,22585,FELTCRAFT CUSHION OWL,497,,-94.92258,16748,United Kingdom
74,568782,47566,RECYCLED ACAPULCO MAT BLUE,-14,,-119.33672,16360,United Kingdom
75,563848,21871,JAM MAKING SET WITH JARS,-6,,-5.1442094,16755,United Kingdom
76,549967,35933,MINI JIGSAW LEAP FROG,-28,,1.1031461,16368,United Kingdom
77,574672,82483,SET/2 RED RETROSPOT TEA TOWELS ,-138,,-10.067543,17548,United Kingdom
78,536532,22477,SWEETHEART WIRE MAGAZINE RACK,-26,,62.10837,,United Kingdom
79,577807,22999,CHARLOTTE BAG VINTAGE ALPHABET ,560,,42.108467,12775,United Kingdom
80,570249,21398,BAKING SET SPACEBOY DESIGN,288,,-3.5231707,13267,United Kingdom
81,574076,22942,WALL TIDY RETROSPOT ,266,,10.766717,15491,United Kingdom
82,557210,21035,ALARM CLOCK BAKELIKE GREEN,216,,54.46759,,United Kingdom
83,573585,22360,NOEL WOODEN BLOCK LETTERS ,-183,,-9.927064,18022,United Kingdom
84,571716,84993A,IVORY HANGING DECORATION  HEART,26,,-16.55259,14667,United Kingdom
