,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
0,11587,1877,601,3,12041,1.7599949,795,36
1,11018,1951,2220,2,9250,0.6634359,1724,36
2,5911,3061,2664,2,3157,1.1343143,0,36
3,4872,1735,268,3,5320,3.3264678,894,36
4,6022,2225,3498,269,6648,-0.10924713,4281,36
5,16765,2124,2961,1,17726,5.749922,3259,36
6,15047,1542,2801,1,17314,8.69263,153,30
7,20341,1910,2454,1,19076,0.9635533,0,36
8,13023,1563,343,2,11296,1.5487516,2179,36
9,18621,774,466,11,16888,2.8416097,507,36
10,11583,858,813,9,12394,2.991921,629,36
11,15052,1147,777,189,15877,0.7911756,1514,10
12,7154,2152,772,1,7863,1.6921774,887,36
13,7395,3148,2069,3,8005,2.2099009,3252,36
14,10698,2065,3288,3,12015,8.781962,0,36
15,1008,3000,2005,2,929,1.6277429,1637,36
16,19463,1704,2030,6,20736,6.793794,1610,36
17,14632,2059,967,5,15631,7.452268,962,36
18,18499,1412,635,12,19665,0.70382154,1755,36
19,7564,2149,589,24,8163,1.3485515,1420,36
20,11852,1749,460,2,7545,4.373181,2191,36
21,5805,1071,255,0,2769,5.0514326,0,36
22,15177,2266,1084,2,16111,1.2900642,0,36
23,19332,1512,3503,2,17849,3.225493,1624,36
24,8295,364,785,2,11740,3.6492383,948,36
25,7472,1679,2387,1,8219,4.696955,2059,36
26,15970,998,1869,5,16967,1.9869089,1297,10
27,4255,1536,590,16,4460,2.080953,941,36
28,10208,1643,729,7,9411,3.5701191,1453,36
29,10937,1498,454,1,11734,3.4460735,2426,36
30,11329,1468,876,8,12076,0.3104739,1716,36
31,10333,1645,2392,3,10916,4.913205,3263,36
32,16707,2238,625,2,17861,6.1464405,1435,36
33,8856,404,3567,158,8656,0.5028328,1348,10
34,10947,2012,3797,1,15534,2.9547687,1852,36
35,19295,845,3172,8,17801,2.5790584,3207,36
36,18265,1557,588,2,21628,2.2225013,0,36
37,7148,1665,2206,5,9480,1.579994,1624,36
38,8361,1619,2248,2,11710,1.7065856,0,36
39,10194,2118,2360,9,10965,5.1018715,942,36
40,2818,3350,198,6,2930,1.6213241,1299,36
