,hid,rlid,admin1,admin2,hh_size
0,,,51,770,1
1,,,51,059,1
2,,,51,173,2
3,,,51,087,2
4,,,51,510,1
5,,,51,059,1
6,,,51,107,1
7,,,51,790,3
8,,,51,810,1
9,,,51,063,2
10,,,51,059,2
11,,,51,107,1
12,,,51,059,2
13,,,51,165,1
14,,,51,710,3
15,,,51,073,1
16,,,51,087,2
17,,,51,115,1
18,,,51,069,3
19,,,51,775,2
20,,,51,760,3
21,,,51,810,1
22,,,51,067,2
23,,,51,700,3
24,,,51,069,3
25,,,51,093,1
26,,,51,710,2
27,,,51,027,1
28,,,51,059,3
29,,,51,179,1
30,,,51,195,2
31,,,51,089,1
32,,,51,087,1
33,,,51,710,3
34,,,51,013,3
35,,,51,041,2
36,,,51,770,2
37,,,51,013,1
38,,,51,660,2
39,,,51,121,6
40,,,51,087,1
41,,,51,185,4
42,,,51,087,1
43,,,51,001,3
44,,,51,069,3
45,,,51,087,3
46,,,51,710,1
47,,,51,760,1
48,,,51,185,2
49,,,51,059,2
50,,,51,197,1
51,,,51,095,4
52,,,51,059,2
53,,,51,021,1
54,,,51,059,2
55,,,51,013,2
56,,,51,600,2
57,,,51,800,1
58,,,51,003,2
59,,,51,650,2
60,,,51,810,1
61,,,51,179,2
62,,,51,510,1
63,,,51,081,1
64,,,51,013,2
65,,,51,650,1
66,,,51,013,3
67,,,51,089,2
68,,,51,775,1
69,,,51,810,1
70,,,51,041,3
71,,,51,510,1
72,,,51,550,1
73,,,51,700,1
74,,,51,710,1
75,,,51,760,4
76,,,51,093,2
77,,,51,115,1
78,,,51,001,1
79,,,51,540,2
80,,,51,161,2
81,,,51,075,1
82,,,51,019,1
83,,,51,013,3
84,,,51,570,1
85,,,51,067,3
86,,,51,810,2
87,,,51,710,1
88,,,51,710,1
89,,,51,009,1
90,,,51,013,1
91,,,51,059,1
92,,,51,510,1
93,,,51,179,2
94,,,51,680,2
95,,,51,710,2
96,,,51,740,1
97,,,51,059,1
98,,,51,135,1
99,,,51,710,2
100,,,51,179,1
101,,,51,127,1
102,,,51,107,1
103,,,51,095,1
104,,,51,067,1
105,,,51,710,1
106,,,51,061,3
107,,,51,059,1
108,,,51,009,2
109,,,51,810,3
110,,,51,550,1
111,,,51,059,3
112,,,51,153,3
113,,,51,059,2
114,,,51,550,2
115,,,51,059,1
116,,,51,137,3
117,,,51,820,1
118,,,51,510,1
119,,,51,810,2
120,,,51,121,3
121,,,51,059,1
122,,,51,161,1
123,,,51,083,1
124,,,51,059,2
125,,,51,800,3
126,,,51,107,1
127,,,51,163,1
128,,,51,179,1
129,,,51,107,1
130,,,51,171,2
131,,,51,760,1
132,,,51,790,1
